Status,Life expectancy ,Adult Mortality,Hepatitis B, BMI ,Polio,Diphtheria , thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling
0.0,65.0,263.0,65.0,19.1,6.0,65.0,17.2,17.3,0.479,10.1
0.0,59.9,271.0,62.0,18.6,58.0,62.0,17.5,17.5,0.476,10.0
0.0,59.9,268.0,64.0,18.1,62.0,64.0,17.7,17.7,0.47,9.9
0.0,59.5,272.0,67.0,17.6,67.0,67.0,17.9,18.0,0.463,9.8
0.0,59.2,275.0,68.0,17.2,68.0,68.0,18.2,18.2,0.454,9.5
0.0,58.8,279.0,66.0,16.7,66.0,66.0,18.4,18.4,0.448,9.2
0.0,58.6,281.0,63.0,16.2,63.0,63.0,18.6,18.7,0.434,8.9
0.0,58.1,287.0,64.0,15.7,64.0,64.0,18.8,18.9,0.433,8.7
0.0,57.5,295.0,63.0,15.2,63.0,63.0,19.0,19.1,0.415,8.4
0.0,57.3,295.0,64.0,14.7,58.0,58.0,19.2,19.3,0.405,8.1
0.0,57.3,291.0,66.0,14.2,58.0,58.0,19.3,19.5,0.396,7.9
0.0,57.0,293.0,67.0,13.8,5.0,5.0,19.5,19.7,0.381,6.8
0.0,56.7,295.0,65.0,13.4,41.0,41.0,19.7,19.9,0.373,6.5
0.0,56.2,3.0,64.0,13.0,36.0,36.0,19.9,2.2,0.341,6.2
0.0,55.3,316.0,63.0,12.6,35.0,33.0,2.1,2.4,0.34,5.9
0.0,54.8,321.0,62.0,12.2,24.0,24.0,2.3,2.5,0.338,5.5
0.0,77.8,74.0,99.0,58.0,99.0,99.0,1.2,1.3,0.762,14.2
0.0,77.5,8.0,98.0,57.2,98.0,98.0,1.2,1.3,0.761,14.2
0.0,77.2,84.0,99.0,56.5,99.0,99.0,1.3,1.4,0.759,14.2
0.0,76.9,86.0,99.0,55.8,99.0,99.0,1.3,1.4,0.752,14.2
0.0,76.6,88.0,99.0,55.1,99.0,99.0,1.4,1.5,0.738,13.3
0.0,76.2,91.0,99.0,54.3,99.0,99.0,1.4,1.5,0.725,12.5
0.0,76.1,91.0,98.0,53.5,98.0,98.0,1.5,1.6,0.721,12.2
0.0,75.3,1.0,99.0,52.6,99.0,99.0,1.6,1.6,0.713,12.0
0.0,75.9,9.0,98.0,51.7,99.0,98.0,1.6,1.7,0.703,11.6
