,Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
0,7,99,1.0,9,1,91.0
1,4,82,0.0,4,2,65.0
2,8,51,1.0,7,2,45.0
3,5,52,1.0,5,2,36.0
4,7,75,0.0,8,5,66.0
5,3,78,0.0,9,6,61.0
6,7,73,1.0,5,6,63.0
7,8,45,1.0,4,6,42.0
8,5,77,0.0,8,2,61.0
9,4,89,0.0,4,0,69.0
10,8,91,0.0,4,5,84.0
11,8,79,0.0,6,2,73.0
12,3,47,0.0,9,2,27.0
13,6,47,0.0,4,2,33.0
14,5,79,0.0,7,8,68.0
15,2,72,0.0,4,3,43.0
16,8,73,1.0,8,4,67.0
17,6,83,1.0,7,2,70.0
18,2,54,1.0,4,9,30.0
19,5,75,0.0,7,0,63.0
20,1,99,1.0,4,3,71.0
21,6,96,0.0,9,0,85.0
22,9,74,1.0,7,6,73.0
23,1,85,0.0,5,6,57.0
24,3,61,0.0,6,3,35.0
25,7,62,1.0,7,4,49.0
26,4,79,0.0,8,9,66.0
27,9,84,1.0,6,6,83.0
28,3,94,1.0,6,5,74.0
29,5,90,1.0,4,3,74.0
30,3,61,1.0,7,3,39.0
31,7,44,1.0,9,1,36.0
32,5,70,1.0,6,9,58.0
33,9,52,1.0,8,1,47.0
34,7,67,1.0,9,3,60.0
35,2,97,1.0,9,4,74.0
36,4,59,0.0,8,3,42.0
37,9,72,0.0,8,2,68.0
38,2,55,1.0,4,1,32.0
39,9,68,0.0,5,3,64.0
40,5,62,0.0,7,4,45.0
41,2,63,1.0,6,0,39.0
42,4,73,1.0,7,0,58.0
43,7,46,0.0,9,5,36.0
44,8,77,1.0,6,4,71.0
45,3,76,1.0,4,3,54.0
46,1,43,1.0,7,0,17.0
47,4,73,0.0,4,6,54.0
48,2,81,1.0,4,3,58.0
49,8,61,0.0,7,2,53.0
50,4,44,1.0,7,6,27.0
51,2,89,1.0,6,1,65.0
52,6,81,0.0,9,9,75.0
53,6,62,1.0,9,0,52.0
54,4,93,0.0,8,3,78.0
